congress,chamber,rollnumber,icpsr,cast_code,prob
82,Senate,7,6132,6,85.9
82,Senate,7,6137,6,69.9
82,Senate,7,6151,6,93.7
82,Senate,7,6242,6,48.8
82,Senate,7,6293,7,25.6
82,Senate,7,6346,7,1.4
82,Senate,7,6525,6,63.9
82,Senate,7,6597,1,78.8
82,Senate,7,6796,1,32.5
82,Senate,7,6820,1,93.5
82,Senate,7,6856,1,89.3
82,Senate,7,6939,7,63.7
82,Senate,7,7020,1,70.4
82,Senate,7,7070,1,81.6
82,Senate,7,7229,1,94.5
82,Senate,7,7958,6,90.5
82,Senate,7,8138,6,94.2
82,Senate,7,8185,1,68.2
82,Senate,7,8270,1,24.7
82,Senate,7,8593,1,32.6
82,Senate,7,8635,6,21.6
82,Senate,7,8666,6,29.6
82,Senate,7,8708,6,95.3
82,Senate,7,8764,7,64.3
82,Senate,7,8883,6,91.4
82,Senate,7,9152,6,44.4
82,Senate,7,9374,1,65.7
82,Senate,7,9401,1,83.5
82,Senate,7,9604,7,47.6
82,Senate,7,9865,1,40.2
82,Senate,7,9930,7,10.7
82,Senate,7,9998,6,86.3
82,Senate,7,10110,1,63.4
82,Senate,7,10163,6,65.9
82,Senate,7,10450,2,30.0
82,Senate,7,96738,1,96.6
82,Senate,8,52,6,66.5
82,Senate,8,165,6,92.2
82,Senate,8,645,1,82.6
82,Senate,8,659,6,92.5
82,Senate,8,1021,1,62.9
82,Senate,8,1024,1,88.3
82,Senate,8,1027,4,24.9
82,Senate,8,1338,1,86.4
82,Senate,8,1341,1,75.3
82,Senate,8,1365,6,53.9
82,Senate,8,1395,6,26.5
82,Senate,8,1489,1,75.5
82,Senate,8,1510,1,56.9
82,Senate,8,1570,1,57.1
82,Senate,8,1659,6,89.5
82,Senate,8,1678,6,92.8
82,Senate,8,1831,5,93.7
82,Senate,8,1986,6,92.7
82,Senate,8,2066,6,45.3
82,Senate,8,2609,1,68.8
82,Senate,8,2691,6,90.1
82,Senate,8,2745,6,60.9
82,Senate,8,2803,1,79.2
82,Senate,8,2822,6,78.1
82,Senate,8,2838,1,81.7
82,Senate,8,2901,6,87.5
82,Senate,8,3110,1,67.6
82,Senate,8,3206,6,49.4
82,Senate,8,3349,6,76.2
82,Senate,8,3388,6,95.9
82,Senate,8,3536,6,85.4
82,Senate,8,3603,1,13.8
82,Senate,8,3783,6,94.6
82,Senate,8,4227,6,93.2
82,Senate,8,4321,1,59.7
82,Senate,8,4328,6,94.7
82,Senate,8,4382,1,75.6
82,Senate,8,4418,6,94.5
82,Senate,8,4483,6,82.2
82,Senate,8,4520,6,79.4
82,Senate,8,4728,6,94.9
82,Senate,8,4747,6,90.9
82,Senate,8,4834,1,36.6
82,Senate,8,4922,1,91.1
82,Senate,8,4949,6,79.1
82,Senate,8,4979,6,94.0
82,Senate,8,5009,1,8.6
82,Senate,8,5122,6,96.3
82,Senate,8,5158,1,87.2
82,Senate,8,5213,6,93.2
82,Senate,8,5240,1,4.1
82,Senate,8,5343,6,43.3
82,Senate,8,5452,1,22.7
82,Senate,8,5591,6,93.1
82,Senate,8,5739,6,59.2
82,Senate,8,5767,6,92.1
82,Senate,8,5913,6,95.0
82,Senate,8,5944,1,67.0
82,Senate,8,6021,6,18.6
82,Senate,8,6107,6,89.7
82,Senate,8,6132,2,26.4
82,Senate,8,6137,7,64.6
82,Senate,8,6151,6,78.9
